cible,horizon,modele,bloc,baseline_comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,dm_pvalue_hln,dm_statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique
DETTE_PUBLIQUE,4,panel_avec_effets_fixes,interne,random_walk,8,13.31501176466616,11.793026114978101,9.406713028470678,8.0625,-11.793026114978101,,,evalue,0.3172389737024308,calcule,0.21850275716375236,0.15436657277490343,True
DETTE_PUBLIQUE,4,panel_avec_effets_fixes,finale,random_walk,4,11.814492137981949,11.225581126231807,8.550292392661207,8.225000000000005,-8.728532688007887,,,evalue,,non_calcule,0.17048329203437157,0.12338084260694383,True
DETTE_PUBLIQUE,4,panel_leave_one_country_out,interne,random_walk,8,10.540166814595066,9.308465975400235,9.406713028470678,8.0625,-1.135276055810901,,,evalue,0.00381120763297238,calcule,0.17296684003438056,0.15436657277490343,False
DETTE_PUBLIQUE,4,panel_leave_one_country_out,finale,random_walk,4,10.286750970222023,8.46139983055562,8.550292392661207,8.225000000000005,0.7695318060158911,,,evalue,,non_calcule,0.14843796493826875,0.12338084260694383,False
DETTE_PUBLIQUE,5,elasticnet,interne,random_walk,6,17.396383212166633,16.8991381887683,9.770278058138025,8.583333333333334,-16.8991381887683,,,evalue,,non_calcule,0.2807377602824093,0.1576698987327277,True
DETTE_PUBLIQUE,5,elasticnet,finale,random_walk,4,16.031883769594202,15.322254832841331,9.106316489118974,9.000000000000005,-15.322254832841331,,,evalue,,non_calcule,0.23134031413555847,0.13140427834226515,True
DETTE_PUBLIQUE,5,panel_avec_effets_fixes,interne,random_walk,6,14.723174812937902,12.912802235469295,9.770278058138025,8.583333333333334,-12.912802235469295,,,evalue,,non_calcule,0.23759830252185962,0.1576698987327277,True
DETTE_PUBLIQUE,5,panel_avec_effets_fixes,finale,random_walk,4,10.906924923315643,10.743440611564543,9.106316489118974,9.000000000000005,-10.743440611564543,,,evalue,,non_calcule,0.15738708403052876,0.13140427834226515,True
DETTE_PUBLIQUE,5,panel_leave_one_country_out,interne,random_walk,6,11.175263095625608,9.356898097325239,9.770278058138025,8.583333333333334,0.006498698534740536,,,evalue,,non_calcule,0.18034313763785273,0.1576698987327277,False
DETTE_PUBLIQUE,5,panel_leave_one_country_out,finale,random_walk,4,3.6348124139108577,3.5536603272838114,9.106316489118974,9.000000000000005,-2.2251379904047788,,,evalue,,non_calcule,0.052450395583129264,0.13140427834226515,True
